county,district,date,rainfall_mm
Baringo,805,chirps-v3.0.2006.01,17.954037257603236
Baringo,BaringoCentral,chirps-v3.0.2006.01,28.755288828974184
Baringo,BaringoNorth,chirps-v3.0.2006.01,14.733822228773585
Baringo,BaringoSouth,chirps-v3.0.2006.01,20.669491627177255
Baringo,EldamaRavine,chirps-v3.0.2006.01,21.7079833984375
Baringo,Mogotio,chirps-v3.0.2006.01,19.994042029747597
Baringo,Tiaty,chirps-v3.0.2006.01,2.5821219490958263
Bomet,BometCentral,chirps-v3.0.2006.01,42.891544342041016
Bomet,BometEast,chirps-v3.0.2006.01,40.23100696910512
Bomet,Chepalungu,chirps-v3.0.2006.01,47.361805635340076
Bomet,Konoin,chirps-v3.0.2006.01,42.0766455078125
Bomet,Sotik,chirps-v3.0.2006.01,62.984469943576386
Bungoma,Bumula,chirps-v3.0.2006.01,36.34538130326705
Bungoma,Kabuchai,chirps-v3.0.2006.01,32.120391845703125
Bungoma,Kanduyi,chirps-v3.0.2006.01,35.746725229116585
Bungoma,Kimilili,chirps-v3.0.2006.01,22.401469421386718
Bungoma,Likuyani,chirps-v3.0.2006.01,20.950049506293404
Bungoma,Lugari,chirps-v3.0.2006.01,16.93335639105903
Bungoma,Mt.Elgon,chirps-v3.0.2006.01,19.86714812247984
Bungoma,Sirisia,chirps-v3.0.2006.01,32.79362487792969
Bungoma,Tongaren,chirps-v3.0.2006.01,16.385298295454547
Bungoma,WebuteWest,chirps-v3.0.2006.01,23.853055318196613
Bungoma,WebuyeEast,chirps-v3.0.2006.01,20.98224094935826
Busia,Budalangi,chirps-v3.0.2006.01,51.809625244140626
Busia,Butula,chirps-v3.0.2006.01,36.53009033203125
Busia,Funyula,chirps-v3.0.2006.01,43.18437194824219
Busia,Matayos,chirps-v3.0.2006.01,36.78643290201823
Busia,Nambale,chirps-v3.0.2006.01,32.17524937220982
Busia,TesoNorth,chirps-v3.0.2006.01,32.11518859863281
Busia,TesoSouth,chirps-v3.0.2006.01,40.08486106178977
Elgeyo-Marakwet,KeiyoNorth,chirps-v3.0.2006.01,19.39256477355957
Elgeyo-Marakwet,KeiyoSouth,chirps-v3.0.2006.01,26.6697998046875
Elgeyo-Marakwet,MarakwetEast,chirps-v3.0.2006.01,6.6729912391075725
Elgeyo-Marakwet,MarakwetWest,chirps-v3.0.2006.01,5.002580341539885
