time,precipitation_sum (mm),,,,,town
01/01/2022,0,,,,,Nairobi
02/01/2022,0,,,,,Nairobi
03/01/2022,0,,,,,Nairobi
04/01/2022,0,,,,,Nairobi
05/01/2022,0,,,,,Nairobi
06/01/2022,2.5,,,,,Nairobi
07/01/2022,0.5,,,,,Nairobi
08/01/2022,0.9,,,,,Nairobi
09/01/2022,0.6,,,,,Nairobi
10/01/2022,0.2,,,,,Nairobi
11/01/2022,0,,,,,Nairobi
12/01/2022,0,,,,,Nairobi
13/01/2022,0,,,,,Nairobi
14/01/2022,0,,,,,Nairobi
15/01/2022,0.4,,,,,Nairobi
16/01/2022,0.2,,,,,Nairobi
17/01/2022,4.5,,,,,Nairobi
18/01/2022,11.6,,,,,Nairobi
19/01/2022,0.2,,,,,Nairobi
20/01/2022,0,,,,,Nairobi
21/01/2022,0.1,,,,,Nairobi
22/01/2022,0.1,,,,,Nairobi
23/01/2022,0,,,,,Nairobi
24/01/2022,0,,,,,Nairobi
25/01/2022,0,,,,,Nairobi
26/01/2022,0,,,,,Nairobi
27/01/2022,0,,,,,Nairobi
28/01/2022,0,,,,,Nairobi
29/01/2022,0.3,,,,,Nairobi
30/01/2022,0.1,,,,,Nairobi
31/01/2022,0.3,,,,,Nairobi
01/02/2022,1.1,,,,,Nairobi
02/02/2022,2.2,,,,,Nairobi
03/02/2022,1.9,,,,,Nairobi
04/02/2022,0.7,,,,,Nairobi
05/02/2022,0.1,,,,,Nairobi
06/02/2022,0.3,,,,,Nairobi
07/02/2022,0.5,,,,,Nairobi
08/02/2022,0,,,,,Nairobi
09/02/2022,0,,,,,Nairobi
10/02/2022,0.1,,,,,Nairobi
11/02/2022,0,,,,,Nairobi
12/02/2022,0.1,,,,,Nairobi
13/02/2022,0,,,,,Nairobi
14/02/2022,0,,,,,Nairobi
15/02/2022,0,,,,,Nairobi
16/02/2022,0,,,,,Nairobi
17/02/2022,0,,,,,Nairobi
18/02/2022,0.3,,,,,Nairobi
19/02/2022,0.3,,,,,Nairobi
20/02/2022,0,,,,,Nairobi
21/02/2022,0.7,,,,,Nairobi
22/02/2022,1.3,,,,,Nairobi
23/02/2022,1.2,,,,,Nairobi
24/02/2022,1.2,,,,,Nairobi
