Town,YearMonth,Rainfall_mm
Bungoma,2022-01,50.6
Bungoma,2022-02,37.3
Bungoma,2022-03,31.0
Bungoma,2022-04,218.4
Bungoma,2022-05,244.6
Bungoma,2022-06,122.6
Bungoma,2022-07,157.0
Bungoma,2022-08,199.1
Bungoma,2022-09,154.8
Bungoma,2022-10,86.89999999999999
Bungoma,2022-11,169.9
Bungoma,2022-12,76.2
Bungoma,2023-01,0.8999999999999999
Bungoma,2023-02,3.9000000000000004
Bungoma,2023-03,203.3
Bungoma,2023-04,220.1
Bungoma,2023-05,92.0
Bungoma,2023-06,94.6
Bungoma,2023-07,72.1
Bungoma,2023-08,63.6
Bungoma,2023-09,130.9
Bungoma,2023-10,156.9
Bungoma,2023-11,197.0
Bungoma,2023-12,68.8
Bungoma,2024-01,140.8
Bungoma,2024-02,59.9
Bungoma,2024-03,23.0
Bungoma,2024-04,205.8
Bungoma,2024-05,150.6
Bungoma,2024-06,69.6
Bungoma,2024-07,128.2
Bungoma,2024-08,124.4
Bungoma,2024-09,115.4
Bungoma,2024-10,138.7
Bungoma,2024-11,271.6
Bungoma,2024-12,70.0
Busia,2022-01,89.10000000000001
Busia,2022-02,80.9
Busia,2022-03,125.4
Busia,2022-04,262.9
Busia,2022-05,214.5
Busia,2022-06,89.8
Busia,2022-07,86.5
Busia,2022-08,148.0
Busia,2022-09,137.2
Busia,2022-10,76.2
Busia,2022-11,300.8
Busia,2022-12,176.5
Busia,2023-01,16.8
Busia,2023-02,37.5
Busia,2023-03,252.10000000000002
Busia,2023-04,319.2
Busia,2023-05,95.8
Busia,2023-06,122.60000000000001
Busia,2023-07,58.9
Busia,2023-08,69.8
Busia,2023-09,152.0
Busia,2023-10,234.7
Busia,2023-11,291.0
Busia,2023-12,110.0
Busia,2024-01,145.5
Busia,2024-02,93.6
Busia,2024-03,129.9
Busia,2024-04,253.7
Busia,2024-05,144.9
Busia,2024-06,37.7
Busia,2024-07,102.3
Busia,2024-08,98.3
Busia,2024-09,132.8
Busia,2024-10,203.5
Busia,2024-11,200.70000000000002
Busia,2024-12,117.5
El Wak,2022-01,1.0
El Wak,2022-02,0.30000000000000004
El Wak,2022-03,9.1
El Wak,2022-04,61.1
El Wak,2022-05,29.4
El Wak,2022-06,25.0
El Wak,2022-07,6.000000000000001
El Wak,2022-08,3.8
El Wak,2022-09,2.3
El Wak,2022-10,47.199999999999996
El Wak,2022-11,18.1
El Wak,2022-12,15.2
El Wak,2023-01,2.5
El Wak,2023-02,0.0
El Wak,2023-03,127.8
El Wak,2023-04,178.6
El Wak,2023-05,11.3
El Wak,2023-06,7.8999999999999995
El Wak,2023-07,4.5
El Wak,2023-08,6.6000000000000005
El Wak,2023-09,5.3
El Wak,2023-10,141.3
El Wak,2023-11,282.0
El Wak,2023-12,2.4
El Wak,2024-01,0.2
El Wak,2024-02,1.9
El Wak,2024-03,15.299999999999999
El Wak,2024-04,142.9
El Wak,2024-05,30.8
El Wak,2024-06,3.9
El Wak,2024-07,5.8
El Wak,2024-08,10.2
El Wak,2024-09,2.7
El Wak,2024-10,23.9
El Wak,2024-11,58.9
El Wak,2024-12,2.1
Eldoret,2022-01,18.7
Eldoret,2022-02,11.2
Eldoret,2022-03,12.0
Eldoret,2022-04,86.2
Eldoret,2022-05,39.9
Eldoret,2022-06,84.3
Eldoret,2022-07,138.1
Eldoret,2022-08,171.0
Eldoret,2022-09,86.7
Eldoret,2022-10,24.900000000000002
Eldoret,2022-11,28.2
Eldoret,2022-12,16.5
Eldoret,2023-01,2.7
Eldoret,2023-02,0.1
Eldoret,2023-03,69.4
Eldoret,2023-04,139.0
Eldoret,2023-05,63.5
Eldoret,2023-06,69.3
Eldoret,2023-07,43.5
Eldoret,2023-08,55.5
Eldoret,2023-09,103.1
Eldoret,2023-10,60.199999999999996
Eldoret,2023-11,83.2
Eldoret,2023-12,23.599999999999998
Eldoret,2024-01,88.7
Eldoret,2024-02,31.0
Eldoret,2024-03,22.8
Eldoret,2024-04,142.5
Eldoret,2024-05,92.8
Eldoret,2024-06,44.3
Eldoret,2024-07,123.0
Eldoret,2024-08,103.1
Eldoret,2024-09,84.7
Eldoret,2024-10,64.3
Eldoret,2024-11,85.9
Eldoret,2024-12,19.1
Embu,2022-01,16.8
Embu,2022-02,23.4
Embu,2022-03,17.2
Embu,2022-04,168.1
Embu,2022-05,90.1
Embu,2022-06,50.3
Embu,2022-07,93.3
Embu,2022-08,85.7
Embu,2022-09,42.6
Embu,2022-10,60.6
Embu,2022-11,159.5
Embu,2022-12,55.7
Embu,2023-01,12.2
Embu,2023-02,3.1
Embu,2023-03,83.89999999999999
Embu,2023-04,224.9
Embu,2023-05,136.29999999999998
Embu,2023-06,85.1
Embu,2023-07,75.4
Embu,2023-08,81.0
Embu,2023-09,51.5
Embu,2023-10,137.4
Embu,2023-11,236.4
Embu,2023-12,39.1
Embu,2024-01,105.0
Embu,2024-02,31.5
Embu,2024-03,39.3
Embu,2024-04,228.7
Embu,2024-05,144.4
Embu,2024-06,29.0
Embu,2024-07,47.4
Embu,2024-08,84.0
Embu,2024-09,45.300000000000004
Embu,2024-10,54.5
Embu,2024-11,144.7
Embu,2024-12,64.8
Garissa,2022-01,15.1
Garissa,2022-02,0.9999999999999999
Garissa,2022-03,4.5
Garissa,2022-04,60.2
Garissa,2022-05,4.0
Garissa,2022-06,8.8
Garissa,2022-07,5.2
Garissa,2022-08,3.4000000000000004
Garissa,2022-09,7.0
Garissa,2022-10,12.1
Garissa,2022-11,68.1
Garissa,2022-12,8.9
Garissa,2023-01,4.7
Garissa,2023-02,0.5
Garissa,2023-03,47.9
Garissa,2023-04,179.9
Garissa,2023-05,11.4
Garissa,2023-06,5.8
Garissa,2023-07,20.6
Garissa,2023-08,10.1
Garissa,2023-09,6.8
Garissa,2023-10,17.5
Garissa,2023-11,286.7
Garissa,2023-12,20.0
Garissa,2024-01,10.7
Garissa,2024-02,2.2
Garissa,2024-03,27.3
Garissa,2024-04,132.8
Garissa,2024-05,12.9
Garissa,2024-06,6.7
Garissa,2024-07,5.5
Garissa,2024-08,13.4
Garissa,2024-09,5.8
Garissa,2024-10,6.3
Garissa,2024-11,160.79999999999998
Garissa,2024-12,4.3999999999999995
Habaswein,2022-01,5.8
Habaswein,2022-02,0.1
Habaswein,2022-03,6.7
Habaswein,2022-04,60.0
Habaswein,2022-05,3.1
Habaswein,2022-06,2.1
Habaswein,2022-07,2.9000000000000004
Habaswein,2022-08,0.30000000000000004
Habaswein,2022-09,2.3
Habaswein,2022-10,4.0
Habaswein,2022-11,19.7
